Start,DoS,Path,Msg
/wiki/Enzo_Staiola,16.0,"['https://es.wikipedia.org/wiki/Enzo_Staiola', 'https://es.wikipedia.org/wiki/Actor', 'https://es.wikipedia.org/wiki/Improvisaci%C3%B3n', 'https://es.wikipedia.org/wiki/Guion_(g%C3%A9nero_literario)', 'https://es.wikipedia.org/wiki/Pel%C3%ADcula', 'https://es.wikipedia.org/wiki/Im%C3%A1genes', 'https://es.wikipedia.org/wiki/Vista', 'https://es.wikipedia.org/wiki/Espectro_visible', 'https://es.wikipedia.org/wiki/Espectro_electromagn%C3%A9tico', 'https://es.wikipedia.org/wiki/F%C3%ADsica', 'https://es.wikipedia.org/wiki/Ciencias_naturales', 'https://es.wikipedia.org/wiki/Ciencia', 'https://es.wikipedia.org/wiki/Sistema', 'https://es.wikipedia.org/wiki/Concepto', 'https://es.wikipedia.org/wiki/Entendimiento', 'https://es.wikipedia.org/wiki/Aptitud', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Edith_Schultze-Westrum,19.0,"['https://es.wikipedia.org/wiki/Edith_Schultze-Westrum', 'https://es.wikipedia.org/wiki/Ulm', 'https://es.wikipedia.org/wiki/Alemania', 'https://es.wikipedia.org/wiki/Estado_soberano', 'https://es.wikipedia.org/wiki/Derecho_internacional', 'https://es.wikipedia.org/wiki/Estado', 'https://es.wikipedia.org/wiki/Instituciones', 'https://es.wikipedia.org/wiki/Relaciones_sociales', 'https://es.wikipedia.org/wiki/Interacci%C3%B3n_social', 'https://es.wikipedia.org/wiki/Conflicto', 'https://es.wikipedia.org/wiki/Poder_(social_y_pol%C3%ADtico)', 'https://es.wikipedia.org/wiki/Ciencias_sociales', 'https://es.wikipedia.org/wiki/Ramas_de_la_ciencia', 'https://es.wikipedia.org/wiki/Ciencias_formales', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 14).
/wiki/Archivo_Hist%C3%B3rico_Municipal_de_Cu%C3%A9llar,-1.0,"['https://es.wikipedia.org/wiki/Archivo_Hist%C3%B3rico_Municipal_de_Cu%C3%A9llar', 'https://es.wikipedia.org/wiki/Archivo_de_documentos', 'https://es.wikipedia.org/wiki/Metonimia', 'https://es.wikipedia.org/wiki/Cambio_sem%C3%A1ntico', 'https://es.wikipedia.org/wiki/Cambio_ling%C3%BC%C3%ADstico', 'https://es.wikipedia.org/wiki/Lengua_natural', 'https://es.wikipedia.org/wiki/Variedad_ling%C3%BC%C3%ADstica']",NOK - looped at /wiki/Lengua_natural (link idx: 5; last idx: 6)
/wiki/Cant%C3%B3n_de_Le_M%C3%A9e-sur-Seine,20.0,"['https://es.wikipedia.org/wiki/Cant%C3%B3n_de_Le_M%C3%A9e-sur-Seine', 'https://es.wikipedia.org/wiki/Cant%C3%B3n_franc%C3%A9s', 'https://es.wikipedia.org/wiki/Departamentos_de_Francia', 'https://es.wikipedia.org/wiki/Francia', 'https://es.wikipedia.org/wiki/Estado_soberano']",OK - short path at /wiki/Estado_soberano (last idx: 4).
/wiki/Valdelagrana,18.0,"['https://es.wikipedia.org/wiki/Valdelagrana', 'https://es.wikipedia.org/wiki/El_Puerto_de_Santa_Mar%C3%ADa', 'https://es.wikipedia.org/wiki/Ciudad', 'https://es.wikipedia.org/wiki/Pueblo_(poblaci%C3%B3n_rural)', 'https://es.wikipedia.org/wiki/Localidad', 'https://es.wikipedia.org/wiki/N%C3%BAcleo_de_poblaci%C3%B3n', 'https://es.wikipedia.org/wiki/Asentamiento', 'https://es.wikipedia.org/wiki/Persona', 'https://es.wikipedia.org/wiki/Individuo', 'https://es.wikipedia.org/wiki/Uno', 'https://es.wikipedia.org/wiki/N%C3%BAmero_natural', 'https://es.wikipedia.org/wiki/Matem%C3%A1ticas', 'https://es.wikipedia.org/wiki/Ciencias_formales']",OK - short path at /wiki/Ciencias_formales (last idx: 12).
/wiki/Uaupesia_weisei,10.0,"['https://es.wikipedia.org/wiki/Uaupesia_weisei', 'https://es.wikipedia.org/wiki/Insecto', 'https://es.wikipedia.org/wiki/Clase_(biolog%C3%ADa)', 'https://es.wikipedia.org/wiki/Biolog%C3%ADa', 'https://es.wikipedia.org/wiki/Ciencia_natural', 'https://es.wikipedia.org/wiki/Ciencia']",OK - short path at /wiki/Ciencia (last idx: 5).
/wiki/Stefka_Evstatieva,12.0,"['https://es.wikipedia.org/wiki/Stefka_Evstatieva', 'https://es.wikipedia.org/wiki/Soprano', 'https://es.wikipedia.org/wiki/Voz_(m%C3%BAsica)', 'https://es.wikipedia.org/wiki/Aparato_fonador', 'https://es.wikipedia.org/wiki/%C3%93rgano_(biolog%C3%ADa)', 'https://es.wikipedia.org/wiki/Biolog%C3%ADa']",OK - short path at /wiki/Biolog%C3%ADa (last idx: 5).
/wiki/Pinet_(H%C3%A9rault),20.0,"['https://es.wikipedia.org/wiki/Pinet_(H%C3%A9rault)', 'https://es.wikipedia.org/wiki/Comuna_francesa', 'https://es.wikipedia.org/wiki/Colectividad_territorial', 'https://es.wikipedia.org/wiki/Francia']",OK - short path at /wiki/Francia (last idx: 3).
/wiki/Tintin_in_Tibet_(videojuego),5.0,"['https://es.wikipedia.org/wiki/Tintin_in_Tibet_(videojuego)', 'https://es.wikipedia.org/wiki/Videojuego', 'https://es.wikipedia.org/wiki/Juego_electr%C3%B3nico', 'https://es.wikipedia.org/wiki/Juego', 'https://es.wikipedia.org/wiki/Actividad', 'https://es.wikipedia.org/wiki/Psicolog%C3%ADa']",OK - normal path.
/wiki/Federico_Garc%C3%ADa_Godoy,-1.0,"['https://es.wikipedia.org/wiki/Federico_Garc%C3%ADa_Godoy', 'https://es.wikipedia.org/wiki/Escritor', 'https://es.wikipedia.org/wiki/Novela', 'https://es.wikipedia.org/wiki/Obra_literaria', 'https://es.wikipedia.org/wiki/Arte', 'https://es.wikipedia.org/wiki/Est%C3%A9tica', 'https://es.wikipedia.org/wiki/Filosof%C3%ADa', 'https://es.wikipedia.org/wiki/Disciplina_acad%C3%A9mica', 'https://es.wikipedia.org/wiki/Conocimiento', 'https://es.wikipedia.org/wiki/Hecho_(filosof%C3%ADa)', 'https://es.wikipedia.org/wiki/Lexema', 'https://es.wikipedia.org/wiki/Morfema', 'https://es.wikipedia.org/wiki/Monema']",NOK - looped at /wiki/Morfema (link idx: 11; last idx: 12)
